Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,Source_File,Interval_Start,Hits_in_10min
2025-09-28 04:21:33,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,,1.csv,2025-09-28 04:20:00,10
2025-09-28 04:21:31,6200,AUX_Poly2,OFFNRM,OK,L 00,current change rate alarm,OFF,,1.csv,2025-09-28 04:20:00,10
2025-09-28 04:21:19,6200,AUX_Poly2,OFFNRM,,L 00,current change rate alarm,ON,,1.csv,2025-09-28 04:20:00,10
2025-09-28 04:15:22,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 04:10:00,12
2025-09-28 04:15:16,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 04:10:00,12
2025-09-28 04:15:12,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 04:10:00,12
2025-09-28 02:21:01,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:43,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:39,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:36,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:30,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:28,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 02:20:00,12
2025-09-28 02:20:25,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 02:20:00,12
2025-09-28 00:15:11,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:15:10,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:14:44,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:14:43,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:14:38,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:14:35,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 00:10:00,15
2025-09-28 00:14:32,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 00:10:00,15
2025-09-28 17:53:26,4600,FIC_2232,BAD PV,ACK,,LP Drum A Process Condensate Flow,,,1.csv,2025-09-28 17:50:00,18
2025-09-28 17:48:11,4600,FIC_2232,BAD PV,OK,L 00,LP Drum A Process Condensate Flow,9.16335,m3/h,1.csv,2025-09-28 17:40:00,10
2025-09-28 17:48:08,4600,FIC_2232,BAD PV,,L 00,LP Drum A Process Condensate Flow,9.16335,m3/h,1.csv,2025-09-28 17:40:00,10
2025-09-28 17:25:18,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,,1.csv,2025-09-28 17:20:00,11
2025-09-28 17:25:11,6200,AUX_Poly2,OFFNRM,,L 00,current change rate alarm,ON,,1.csv,2025-09-28 17:20:00,11
2025-09-28 17:24:32,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,,1.csv,2025-09-28 17:20:00,11
2025-09-28 17:24:23,6200,AUX_Poly2,OFFNRM,,L 00,current change rate alarm,ON,,1.csv,2025-09-28 17:20:00,11
2025-09-28 16:26:30,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:26:30,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:26:15,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:26:06,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:26:04,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:51,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:51,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:21,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:15,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:13,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 16:20:00,11
2025-09-28 16:25:11,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 16:20:00,11
2025-09-28 14:27:29,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:27:29,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:27:22,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:27:09,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:27:03,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:26:56,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 14:20:00,12
2025-09-28 14:26:54,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 14:20:00,12
2025-09-28 10:23:47,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 10:20:00,15
2025-09-28 10:23:46,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 10:20:00,15
2025-09-28 10:23:45,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 10:20:00,15
2025-09-28 10:23:44,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 10:20:00,15
2025-09-28 10:23:38,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 10:20:00,15
2025-09-28 10:02:06,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,0,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:56,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00900592,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:42,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,0,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:39,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00900592,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:38,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00900592,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:37,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00996232,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:24,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,0,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:16,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.008094,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:01:05,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,0,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:00:54,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00891694,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:00:46,4300,PDIA_4301C,BAD PV,,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00891694,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 10:00:38,4300,PDIA_4301C,BAD PV,OK,L 00,N-4303C RAW WATER DIFF PRESSURE,-0.00791606,MPa,1.csv,2025-09-28 10:00:00,12
2025-09-28 08:12:12,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:12:06,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:12:04,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:11:53,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:11:51,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:11:44,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 08:10:00,15
2025-09-28 08:11:14,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 08:10:00,15
2025-09-28 07:48:41,4600,FIC_2232,BAD PV,ACK,,LP Drum A Process Condensate Flow,,,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:47:07,4600,FIC_2232,BAD PV,OK,L 00,LP Drum A Process Condensate Flow,25.4723,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:47:06,4600,FIC_2232,BAD PV,,L 00,LP Drum A Process Condensate Flow,25.4723,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:45:58,4600,FIC_2232,BAD PV,ACK,,LP Drum A Process Condensate Flow,,,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:45:52,4600,FIC_2232,BAD PV,OK,L 00,LP Drum A Process Condensate Flow,1.97514,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:45:50,4600,FIC_2232,BAD PV,,L 00,LP Drum A Process Condensate Flow,1.97514,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:42:39,4600,FIC_2232,BAD PV,OK,L 00,LP Drum A Process Condensate Flow,1.43729,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:42:38,4600,FIC_2232,BAD PV,,L 00,LP Drum A Process Condensate Flow,1.43729,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:42:29,4600,FIC_2232,BAD PV,ACK,,LP Drum A Process Condensate Flow,,,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:42:12,4600,FIC_2232,BAD PV,OK,L 00,LP Drum A Process Condensate Flow,3.05751,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 07:42:11,4600,FIC_2232,BAD PV,,L 00,LP Drum A Process Condensate Flow,3.05751,m3/h,1.csv,2025-09-28 07:40:00,11
2025-09-28 04:29:52,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,,1.csv,2025-09-28 04:20:00,10
2025-09-28 04:29:14,6200,AUX_Poly2,OFFNRM,,L 00,current change rate alarm,ON,,1.csv,2025-09-28 04:20:00,10
2025-09-28 03:59:27,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:59:23,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:59:14,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:59:14,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:58:56,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:58:42,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:58:37,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:58:23,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 03:50:00,10
2025-09-28 03:58:20,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 03:50:00,10
2025-09-28 01:31:02,6200,FIC_P204,BAD PV,ACK,,PLY-2E Pure Water Flow,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:59,6200,FQ_P204,BAD PV,ACK,,PLY-2E Pure Water Flow Totl,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:54,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,2.07347,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:53,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,2.07347,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:52,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,0,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:51,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,0,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:49,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,3.00936,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:49,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,3.00936,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:49,6200,FIC_P204,BAD PV,ACK,,PLY-2E Pure Water Flow,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:48,6200,FQ_P204,BAD PV,ACK,,PLY-2E Pure Water Flow Totl,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:45,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,3.00936,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:44,6200,FIC_P204,BAD PV,ACK,,PLY-2E Pure Water Flow,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:44,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,3.00936,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:43,6200,FQ_P204,BAD PV,ACK,,PLY-2E Pure Water Flow Totl,,,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:42,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,2.98774,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:42,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,2.98774,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:38,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,2.98774,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:38,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,2.98774,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:33,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,2.98474,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:34,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,2.98474,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:31,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,2.98474,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:32,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,2.98474,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:27,6200,FQ_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow Totl,2.97506,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:28,6200,FIC_P204,BAD PV,OK,L 00,PLY-2E Pure Water Flow,2.97506,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:25,6200,FQ_P204,BAD PV,,L 00,PLY-2E Pure Water Flow Totl,2.97506,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:30:25,6200,FIC_P204,BAD PV,,L 00,PLY-2E Pure Water Flow,2.97506,t/h,1.csv,2025-09-28 01:30:00,13
2025-09-28 01:10:40,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 01:10:00,22
2025-09-28 19:24:51,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:42,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:42,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:40,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:32,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:31,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:24:23,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:23:46,PVC,SampleTimeAlm,OFFNRM,OK,J 00,PVC II Sample Time,OFF,,1.csv,2025-09-28 19:20:00,12
2025-09-28 19:23:43,PVC,SampleTimeAlm,OFFNRM,,J 00,PVC II Sample Time,ON,,1.csv,2025-09-28 19:20:00,12
2025-09-28 17:20:07,6200,AUX_Poly2,OFFNRM,ACK,,current change rate alarm,,,1.csv,2025-09-28 17:20:00,11
