Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,event_type,should_count_in_ISA,classification_reason
3/1/2025 23:29:04.100,1500,EI1504A1,PVLOW,,L 00,CE1501A CURRENT,3.24893,amp,ALARM,True,New alarm: PVLOW
3/1/2025 23:29:04.200,1500,CE1501A1,OFFNRM,,H 00,CENTRIFUGE,STOP,,UNKNOWN,False,Unknown condition: OFFNRM
3/1/2025 23:26:57.800,8100,AI_PH10,PVHIHI,OK,H 00,EFFULUENT CHANEL OLD W/S,8.63967,pH,OPERATOR_ACTION,False,Operator action: OK
3/1/2025 23:26:08.000,8200,FI8101,PVHIGH,OK,L 00,VE8202,756.759,Nm3/h,OPERATOR_ACTION,False,Operator action: OK
3/1/2025 23:26:03.943,1300,XSV1309B,CHANGE,,,devctla.gop,S0,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:25:56.882,1300,XSV1349B,CHANGE,,,devctla.gop,S0,,SYSTEM_EVENT,False,System event: CHANGE
3/1/2025 23:24:17.600,8100,AI_PH10,PVHIHI,,H 00,EFFULUENT CHANEL OLD W/S,8.96376,pH,ALARM,True,New alarm: PVHIHI
3/1/2025 23:24:05.400,1500,DRYER,State Change,,J 00,SCM,Running,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:24:05.900,1500,DRYER,Start,,J 00,SCM,,,UNKNOWN,False,Unknown condition: Start
3/1/2025 23:24:04.300,1500,DRYER,State Change,,J 00,SCM,Idle,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:24:03.600,1500,DRYER,End,,J 00,SCM,,,UNKNOWN,False,Unknown condition: End
3/1/2025 23:24:03.500,1500,DRYER,State Change,,J 00,SCM,Complete,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:24:02.187,1500,DRYER_CM,MESSAGE,CNF,,DRYER BED DISCHRGE FINISH,,,OPERATOR_ACTION,False,Operator action: CNF
3/1/2025 23:24:01.522,1500,DRYER_CM,MESSAGE,ACK,,DRYER BED DISCHRGE FINISH,,,OPERATOR_ACTION,False,Operator action: ACK
3/1/2025 23:23:55.700,1500,DRYER_CM,CONFIRMABLE MESSAGE,,,DRYER BED DISCHRGE FINISH,,,UNKNOWN,False,Unknown condition: CONFIRMABLE MESSAGE
3/1/2025 23:23:49.700,1600,PNEUMA,State Change,,J 00,SCM,Idle,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:23:48.700,1600,PNEUMA,End,,J 00,SCM,,,UNKNOWN,False,Unknown condition: End
3/1/2025 23:23:48.700,1600,PNEUMA,State Change,,J 00,SCM,Complete,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:23:45.200,IOLINK04_1,AIOR-704,OP Fail in circuit/field wire,OK,H 15,,Channel_18_B,,OPERATOR_ACTION,False,Operator action: OK
3/1/2025 23:23:04.400,1600,PNEUMOIS,State Change,,J 00,SCM,Idle,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:23:03.500,1600,PNEUMOIS,End,,J 00,SCM,,,UNKNOWN,False,Unknown condition: End
3/1/2025 23:23:03.400,1600,PNEUMOIS,State Change,,J 00,SCM,Complete,,UNKNOWN,False,Unknown condition: State Change
3/1/2025 23:22:04.400,1500,FL1504,State Change,,J 00,SCM,Idle,,UNKNOWN,False,Unknown condition: State Change
